Date,Open,High,Low,Close,Adj Close,Volume
2017-01-02,62.790001,63.150002,62.029999,62.840000,59.743763,86833000
2017-01-09,62.759998,63.400002,61.950001,62.700001,59.610664,100883500
2017-01-16,62.680000,62.980000,62.029999,62.740002,59.648685,88999300
2017-01-23,62.700001,65.910004,62.570000,65.779999,62.538902,159815800
2017-01-30,65.690002,65.790001,62.750000,63.680000,60.542374,172722200
2017-02-06,63.500000,64.440002,63.139999,64.000000,60.846611,98985100
2017-02-13,64.239998,65.239998,64.019997,64.620003,61.436062,104828800
2017-02-20,64.610001,64.949997,64.050003,64.620003,61.808517,82018500
2017-02-27,64.540001,64.989998,63.619999,64.250000,61.454613,108724300
2017-03-06,63.970001,65.260002,63.810001,64.930000,62.105022,98167200
2017-03-13,65.010002,65.239998,64.150002,64.870003,62.047638,129108000
2017-03-20,64.910004,65.500000,64.120003,64.980003,62.152859,103804900
2017-03-27,64.629997,66.190002,64.349998,65.860001,62.994560,88476600
2017-04-03,65.809998,66.349998,65.190002,65.680000,62.822403,87058900
2017-04-10,65.610001,65.860001,64.849998,64.949997,62.124149,71749200
2017-04-17,65.040001,66.699997,64.889999,66.400002,63.511070,113659800
2017-04-24,67.480003,69.139999,67.099998,68.459999,65.481438,160723300
2017-05-01,68.680000,69.709999,68.489998,69.000000,65.997940,125666700
2017-05-08,68.970001,69.559998,68.040001,68.379997,65.404922,106905800
2017-05-15,68.139999,69.440002,67.139999,67.690002,64.744926,149197500
2017-05-22,67.889999,70.220001,67.500000,69.959999,67.299736,87939300
2017-05-29,69.790001,71.860001,69.449997,71.760002,69.031296,103883100
2017-06-05,71.970001,72.889999,68.589996,70.320000,67.646049,160905400
2017-06-12,69.250000,71.099998,68.129997,70.000000,67.338226,172944800
2017-06-19,70.500000,71.250000,69.709999,71.209999,68.502213,115784600
2017-06-26,71.400002,71.709999,68.089996,68.930000,66.308907,123708100
2017-07-03,69.330002,69.839996,68.019997,69.459999,66.818756,75337700
2017-07-10,69.459999,73.269997,69.199997,72.779999,70.012505,96363300
2017-07-17,72.800003,74.300003,72.660004,73.790001,70.984100,159733500
2017-07-24,73.529999,74.419998,72.320000,73.040001,70.262627,114816600
2017-07-31,73.300003,73.440002,71.440002,72.680000,69.916306,113025000
2017-08-07,72.800003,73.129997,71.279999,72.500000,69.743149,109141900
2017-08-14,73.059998,74.099998,71.930000,72.489998,69.733528,99167400
2017-08-21,72.470001,73.349998,71.699997,72.820000,70.424217,75737600
2017-08-28,73.059998,74.959999,72.050003,73.940002,71.507362,92334900
2017-09-04,73.339996,74.599998,72.980003,73.980003,71.546036,70266800
2017-09-11,74.309998,75.489998,74.070000,75.309998,72.832283,99998400
2017-09-18,75.230003,75.970001,73.849998,74.410004,71.961906,94285700
2017-09-25,74.089996,74.540001,72.919998,74.489998,72.039268,89696800
2017-10-02,74.709999,76.120003,73.709999,76.000000,73.499580,75968000
2017-10-09,75.970001,77.870003,75.860001,77.489998,74.940567,72932100
2017-10-16,77.419998,78.970001,77.250000,78.809998,76.217140,80464000
2017-10-23,78.989998,86.199997,78.010002,83.809998,81.052635,161742600
2017-10-30,83.699997,84.540001,82.879997,84.139999,81.371788,122777100
2017-11-06,84.199997,84.900002,82.900002,83.870003,81.110680,96411000
2017-11-13,83.660004,84.099998,82.239998,82.400002,79.689018,95423100
2017-11-20,82.400002,83.900002,82.250000,83.260002,80.925125,65531200
2017-11-27,83.309998,85.059998,83.180000,84.260002,81.897079,130159000
2017-12-04,84.419998,84.580002,80.699997,84.160004,81.799881,139082900
2017-12-11,84.290001,87.089996,84.120003,86.849998,84.414436,142087400
2017-12-18,87.120003,87.500000,84.709999,85.510002,83.112022,101620000
2017-12-25,85.309998,86.050003,85.029999,85.540001,83.141182,53880900
2018-01-01,86.129997,88.410004,85.500000,88.190002,85.716881,93864300
2018-01-08,88.199997,89.779999,87.239998,89.599998,87.087334,102329900
2018-01-15,90.099998,90.790001,88.010002,90.000000,87.476105,123255600
2018-01-22,90.000000,94.059998,89.739998,94.059998,91.422256,135847300
2018-01-29,95.139999,96.070000,91.500000,91.779999,89.206184,214057000
2018-02-05,90.559998,93.239998,83.830002,88.180000,85.707153,279265500
2018-02-12,88.739998,93.500000,87.800003,92.000000,89.420013,155509700
2018-02-19,91.480003,94.070000,91.010002,94.059998,91.851700,108556200
2018-02-26,94.400002,95.839996,90.860001,93.050003,90.865417,157202200
2018-03-05,92.339996,96.540001,92.260002,96.540001,94.273476,135618600
2018-03-12,96.500000,97.239998,92.830002,94.599998,92.379021,170285800
2018-03-19,93.739998,94.050003,87.080002,87.180000,85.133224,163550000
2018-03-26,90.610001,95.139999,88.400002,91.269997,89.127190,211334400
2018-04-02,90.470001,93.070000,87.510002,90.230003,88.111626,189087100
2018-04-09,91.040001,94.180000,90.620003,93.080002,90.894714,133323000
2018-04-16,94.070000,97.070000,93.419998,95.000000,92.769630,122809300
2018-04-23,95.739998,97.900002,90.279999,95.820000,93.570381,181387700
2018-04-30,96.330002,96.400002,92.449997,95.160004,92.925873,154077300
2018-05-07,95.169998,97.949997,95.050003,97.699997,95.406250,114220400
2018-05-14,97.919998,98.690002,95.830002,96.360001,94.097710,96545300
2018-05-21,97.000000,98.980003,96.320000,98.360001,96.467072,101128100
2018-05-28,97.839996,100.860001,97.230003,100.790001,98.850311,113626000
2018-06-04,101.260002,102.690002,100.379997,101.629997,99.674141,122316200
2018-06-11,101.010002,102.029999,100.070000,100.129997,98.203003,162739400
2018-06-18,100.010002,102.519997,99.419998,100.410004,98.477631,140541200
2018-06-25,100.000000,100.110001,97.260002,98.610001,96.712257,148332800
2018-07-02,98.099998,101.430000,98.000000,101.160004,99.213196,72446800
2018-07-09,101.650002,105.599998,101.099998,105.430000,103.401009,106120800
2018-07-16,105.400002,108.199997,103.889999,106.269997,104.224838,173358100
2018-07-23,106.300003,111.150002,106.129997,107.680000,105.607712,155103100
2018-07-30,107.190002,108.089996,104.760002,108.040001,105.960777,130716100
2018-08-06,108.120003,110.160004,107.559998,109.000000,106.902306,83694500
2018-08-13,109.239998,109.750000,106.690002,107.580002,105.509636,104689400
2018-08-20,107.510002,108.559998,105.779999,108.400002,106.722969,94198400
2018-08-27,109.269997,112.779999,108.510002,112.330002,110.592186,105653200
2018-09-03,110.849998,111.959999,107.230003,108.209999,106.535919,101483200
2018-09-10,108.839996,113.730003,108.360001,113.370003,111.616089,109098700
2018-09-17,113.690002,115.290001,111.040001,114.260002,112.492317,159580000
2018-09-24,113.029999,115.099998,112.220001,114.370003,112.600616,110093600
2018-10-01,114.750000,116.180000,110.639999,112.129997,110.395264,120208900
2018-10-08,111.660004,113.080002,104.199997,109.570000,107.874870,228861900
2018-10-15,108.910004,111.809998,106.949997,108.660004,106.978958,155518200
2018-10-22,109.320000,110.540001,101.589996,106.959999,105.305260,251383700
2018-10-29,108.110001,108.699997,100.110001,106.160004,104.517632,242639700
2018-11-05,106.370003,112.239998,105.900002,109.570000,107.874870,147847300
2018-11-12,109.419998,109.959999,103.910004,108.290001,106.614677,180498800
2018-11-19,108.269997,108.559998,99.349998,103.070000,101.913811,150780100
2018-11-26,104.790001,111.330002,104.580002,110.889999,109.646095,170038000
2018-12-03,113.000000,113.419998,104.300003,104.820000,103.644188,174082100
2018-12-10,104.800003,111.269997,103.889999,106.029999,104.840607,197742900
2018-12-17,105.410004,106.879997,97.459999,98.230003,97.128105,356051000
2018-12-24,97.680000,102.410004,93.959999,100.389999,99.263878,183264800
2018-12-31,101.290001,102.400002,100.440002,101.570000,100.430641,33173800
